YYYYMM,Value,Description,Unit
200309,164910.002,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200310,159322.942,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200311,158223.194,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200312,176291.472,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200401,180657.421,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200402,161503.092,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200403,154288.419,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200404,141470.956,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200405,157016.377,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200406,167641.906,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200407,181491.821,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200408,178181.343,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200409,164252.923,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200410,157605.095,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200411,157435.994,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200412,176755.201,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200501,177013.907,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200502,155818.014,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200503,163612.7,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200504,143083.239,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200505,153957.962,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200506,174866.997,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200507,186090.757,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200508,187573.754,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200509,171656.215,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200510,162436.793,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200511,158797.527,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200512,177965.18,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200601,169236.081,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200602,158616.189,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200603,161325.115,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200604,141426.234,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200605,157009.755,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200606,169693.478,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200607,187820.872,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200608,189454.93,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200609,161590.354,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200610,161389.659,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200611,159439.517,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200612,173508.951,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200701,175739.438,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200702,163602.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200703,159811.074,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200704,146249.541,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200705,157513.281,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200706,173512.884,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200707,185053.788,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200708,190134.816,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200709,169391.273,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200710,162234.356,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200711,159382.455,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200712,173829.866,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200801,182875.504,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200802,166666.355,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200803,160743.243,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200804,146983.024,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200805,154915.901,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200806,171043.279,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200807,186733.456,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200808,180576.493,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
