Date,Price,Open,High,Low,Volume,Change(%)
29-Apr-21,1356.35,1368,1369,1351.4,5412357,0.03%
28-Apr-21,1356,1358,1359.5,1344.6,4879234,0.56%
27-Apr-21,1348.5,1346,1353,1340.15,3636115,0.37%
26-Apr-21,1343.55,1332.25,1351.3,1321,7088606,0.73%
23-Apr-21,1333.8,1343,1348.4,1331,7316262,-1.28%
22-Apr-21,1351.1,1355.55,1364.8,1345.15,6622446,-0.02%
20-Apr-21,1351.35,1379,1379,1342.4,8560766,-0.82%
19-Apr-21,1362.55,1340,1379.7,1332.35,12508028,0.65%
16-Apr-21,1353.75,1365,1370.85,1346.6,10879878,-0.51%
15-Apr-21,1360.75,1332.3,1366.4,1320,25342491,-2.61%
13-Apr-21,1397.15,1433,1435.25,1375,14855206,-2.01%
12-Apr-21,1425.75,1474,1477.55,1415,20384532,-1.06%
9-Apr-21,1441.05,1455,1455,1430.05,6052712,0.08%
8-Apr-21,1439.85,1430,1451.7,1421,5654434,0.67%
7-Apr-21,1430.2,1410.25,1434.95,1406.6,5879234,1.36%
6-Apr-21,1411.05,1423,1426,1406.45,5793571,0.08%
5-Apr-21,1409.9,1391,1425,1387,9479572,1.78%
1-Apr-21,1385.2,1380,1391.6,1371,5675155,1.25%
31-Mar-21,1368.05,1382,1388,1363.3,8220987,-1.25%
30-Mar-21,1385.3,1346.9,1400,1336.15,10546919,3.67%
26-Mar-21,1336.2,1344.7,1356.7,1332,4922071,0.18%
25-Mar-21,1333.8,1346.75,1352.5,1327.6,8749994,-1.47%
24-Mar-21,1353.75,1357.85,1370.45,1346.25,6134303,-1.30%
23-Mar-21,1371.55,1372.45,1383.25,1359.6,7165335,0.05%
22-Mar-21,1370.8,1350.1,1376,1336.1,4862758,1.96%
19-Mar-21,1344.45,1330,1355.2,1318,12767112,0.55%
18-Mar-21,1337.1,1393.75,1393.75,1313.5,10961755,-3.60%
17-Mar-21,1387,1392.25,1400,1382,7626744,0.22%
16-Mar-21,1384,1386.05,1406,1380.5,9352771,0.76%
15-Mar-21,1373.6,1370,1379.9,1358.5,6658665,-0.09%
12-Mar-21,1374.85,1373,1391.7,1370.05,9462061,0.49%
10-Mar-21,1368.15,1356.9,1374,1355,7925984,1.68%
9-Mar-21,1345.55,1329.5,1350.45,1318.75,6518173,0.73%
8-Mar-21,1335.75,1324.8,1346.1,1317.2,5119392,1.45%
5-Mar-21,1316.7,1328.5,1340,1305.05,6486176,-1.03%
4-Mar-21,1330.35,1335,1363.85,1325.9,12041941,-0.98%
