Date,Price,Open,High,Low,Volume,Change(%)
24-Dec-18,172.5,176.25,177.85,171.5,11374468,-2.13%
21-Dec-18,176.25,177,180.5,175.15,23742481,-0.09%
20-Dec-18,176.4,173,177.3,171.75,15819006,1.44%
19-Dec-18,173.9,176.5,176.5,172.5,11540042,-0.49%
18-Dec-18,174.75,174,177.6,173.1,18015933,0.46%
17-Dec-18,173.95,167.25,175.95,167.25,28526103,4.19%
14-Dec-18,166.95,166,168.4,164.85,10091732,0.06%
13-Dec-18,166.85,166,168,165.55,12235499,1.68%
12-Dec-18,164.1,159.5,167.1,158,22461175,3.80%
11-Dec-18,158.1,155,159.5,154.65,12094881,0.64%
10-Dec-18,157.1,159.9,160.5,156.5,13520495,-3.26%
7-Dec-18,162.4,162.25,164.2,160.8,13545006,-0.15%
6-Dec-18,162.65,168.5,168.7,161.6,15428019,-3.87%
5-Dec-18,169.2,173,173,168.6,14960527,-3.73%
4-Dec-18,175.75,177.95,178.75,175.3,11481923,0.17%
3-Dec-18,175.45,173.25,176.45,170,14068885,2.04%
30-Nov-18,171.95,172,174.9,170.35,18393012,-2.99%
29-Nov-18,177.25,175.95,179.35,173.45,20892744,1.61%
28-Nov-18,174.45,181,181.35,174,12504717,-3.11%
27-Nov-18,180.05,181.7,184.55,178.55,11639680,-0.94%
26-Nov-18,181.75,183.9,184.45,177,9865426,-0.44%
22-Nov-18,182.55,185.5,186.15,181.75,9135857,-0.87%
21-Nov-18,184.15,184.4,186.75,183.75,8097107,0.22%
20-Nov-18,183.75,184.05,188.3,183.2,13114982,-0.46%
19-Nov-18,184.6,180.6,185.5,179.1,14522581,2.61%
16-Nov-18,179.9,180.9,181.85,177.85,10022823,-0.17%
15-Nov-18,180.2,178,182.7,177.5,18740276,1.92%
14-Nov-18,176.8,180.5,183,176.25,15795883,-1.50%
13-Nov-18,179.5,180.75,183,178.35,22189598,-3.52%
12-Nov-18,186.05,194.45,194.45,185.2,20789180,-4.71%
9-Nov-18,195.25,192.9,200.75,192,22341961,0.21%
7-Nov-18,194.85,194.95,195.75,193.35,3932893,0.83%
6-Nov-18,193.25,192.45,199.95,191.75,35339222,1.82%
5-Nov-18,189.8,191.3,191.3,186.65,14818506,-0.26%
2-Nov-18,190.3,180.95,191.85,180.9,29425248,6.05%
1-Nov-18,179.45,182,186.05,178.2,28947802,0.20%
31-Oct-18,179.1,178.3,180,173.45,12579712,1.04%
30-Oct-18,177.25,177,181.5,176.05,15602414,1.08%
29-Oct-18,175.35,169.95,176.5,167.7,14171750,4.07%
26-Oct-18,168.5,166,172.8,165.9,19584723,1.91%
25-Oct-18,165.35,168.95,169.75,164.6,14877057,-3.11%
24-Oct-18,170.65,173.9,175,169,15421903,0.00%
